,A305720,A091180,A228800,A161510,A150460,A228810,A139220,A117680,A174350,A244670,A322150,A337120,A147970,A243880,A153130,A148070,A332620,A182490,A292770,A123310,A292340,A166400,A271050,A132030,A138910,A316300,A352560,A250780,A295020,A217780,A225030,A373530,A280940
2021-08-20,21457,20338,4911,10624,8198,7702,2917,8614,10792,9303,14269.0,13634.0,22294,58100,102865,121355,104670.0,12475,49655,4445,10085,14213,9285,12115,7515,12345.0,13874.0,4650,46780,7800,3820,9730.0,7305
2021-08-23,21217,20659,5071,10785,8366,8021,2932,8718,10906,9426,14396.0,13770.0,22590,58520,102865,121098,104670.0,12435,49685,4400,10210,14386,9345,12100,7610,12375.0,13859.0,4515,46915,7695,3770,9645.0,7290
2021-08-24,20875,21081,5310,11026,8642,8359,3019,9075,11195,9723,14638.0,14080.0,23068,59830,102860,120643,104000.0,12435,49755,4320,10615,14519,8995,12225,7755,12320.0,13829.0,4420,47085,7605,3740,9480.0,7230
2021-08-25,21352,21134,5378,11147,8681,8389,3079,9165,11244,9798,14775.0,14123.0,23349,59395,102835,120598,103530.0,12460,49755,4310,10595,14572,8825,12175,7800,12375.0,13874.0,4405,47095,7590,3735,9240.0,7265
2021-08-26,21069,21297,5378,11173,8685,8473,3044,9104,11239,9737,14703.0,14031.0,23462,59050,102850,120668,103450.0,12520,49740,4340,10560,14491,8745,12095,7790,12365.0,13834.0,4380,47055,7680,3745,9325.0,7285
2021-08-27,21049,21273,5453,11196,8730,8413,3054,9061,11280,9841,14698.0,14026.0,23616,59085,102850,120579,104150.0,12520,49735,4340,10555,14458,8650,12225,7805,12300.0,13815.0,4390,47120,7665,3750,9355.0,7235
2021-08-30,20974,21469,5558,11155,8775,8413,3167,9375,11275,9968,14771.0,14089.0,23739,58760,102855,120915,103945.0,12555,49710,4335,10610,14519,8675,12295,7990,12310.0,13962.0,4355,46965,7740,3720,9325.0,7190
2021-08-31,21651,21786,5528,11236,8789,8423,3220,9499,11394,9996,15023.0,14355.0,23945,62180,102860,120930,103870.0,12550,49700,4245,10930,14476,8570,12315,8030,12330.0,14116.0,4315,47015,7800,3685,9200.0,7175
2021-09-01,21168,21930,5558,11306,8868,8493,3269,9494,11513,10039,15053.0,14384.0,23936,62295,102860,120752,103150.0,12575,49675,4240,10970,14802,8610,12310,7915,12255.0,14136.0,4290,47100,7695,3695,9015.0,7185
2021-09-02,20645,21608,5523,11311,8853,8408,3225,9527,11509,10029,14912.0,14302.0,23692,59570,102875,120722,103095.0,12575,49695,4280,10865,14705,8685,12295,7870,12375.0,14317.0,4295,47105,7685,3705,9035.0,7190
2021-09-03,20949,21877,5558,11280,8848,8359,3245,9575,11486,10039,15028.0,14423.0,23870,62170,102885,120579,102730.0,12580,49725,4250,10955,14749,8505,12285,7920,12445.0,14476.0,4265,47115,7700,3690,9000.0,7200
2021-09-06,21128,21949,5573,11285,8824,8364,3255,9532,11472,10019,15096.0,14452.0,23865,61885,102890,120317,102895.0,12575,49745,4230,11020,14812,8670,12380,7930,12420.0,14496.0,4265,47245,7550,3695,8960.0,7140
2021-09-07,21417,21857,5603,11258,8873,8418,3255,9788,11477,10053,15053.0,14408.0,24114,61160,102890,120485,102150.0,12545,49760,4260,10955,14705,8590,12310,7890,12390.0,14561.0,4250,47165,7450,3695,8930.0,7160
2021-09-08,21427,22001,5563,11285,8730,8195,3235,9917,11463,10011,14940.0,14336.0,24221,60910,102895,119931,102990.0,12535,49805,4300,10810,14620,8620,12160,7830,12365.0,14340.0,4325,47400,7475,3710,8955.0,7245
2021-09-09,21481,21560,5493,11147,8617,8185,3182,9618,11367,9869,14716.0,14128.0,23931,59005,102905,120158,103070.0,12525,49820,4370,10435,14376,8550,12100,7865,12335.0,14445.0,4350,47320,7425,3745,9145.0,7275
2021-09-10,21954,21205,5508,11253,8666,8135,3206,9626,11463,9973,14775.0,14196.0,24354,60080,102895,120129,104740.0,12570,49825,4350,10445,14445,8640,12205,7950,12340.0,14151.0,4315,47355,7335,3730,8985.0,7230
2021-09-13,22273,21096,5473,11289,8592,8046,3182,9850,11472,9982,14698.0,14196.0,24423,59400,102900,119891,104690.0,12570,49840,4345,10485,14427,8435,12120,8185,12370.0,13967.0,4350,47430,7385,3750,9145.0,7255
2021-09-14,22432,21354,5692,11405,8710,8165,3230,9770,11518,10067,14872.0,14263.0,24654,60800,102890,119590,104450.0,12555,49895,4310,10560,14528,8345,12135,7970,12280.0,14029.0,4305,47570,7460,3755,9045.0,7250
2021-09-15,22572,21331,5672,11400,8755,8210,3323,9626,11509,10049,14867.0,14278.0,24705,60775,102895,119946,105370.0,12545,49845,4300,10570,14577,8345,12200,7950,12360.0,13967.0,4255,47445,7575,3765,9175.0,7245
2021-09-16,22497,21354,5628,11383,8627,8130,3372,9712,11458,10024,14736.0,14215.0,24808,58230,102920,119763,105300.0,12550,49845,4345,10565,14481,8165,12085,7965,12390.0,13957.0,4255,47505,7630,3740,9250.0,7275
2021-09-17,22332,21278,5652,11298,8651,8165,3357,9651,11422,10062,14780.0,14244.0,24831,58450,102920,119506,105345.0,12575,49870,4330,10525,14481,8190,11930,7890,12415.0,14025.0,4250,47635,7575,3760,9215.0,7385
2021-09-23,22611,21162,5832,11253,8602,8225,3323,9327,11372,9931,14712.0,14166.0,24579,58000,102915,119293,105060.0,12565,49910,4345,10525,14481,8155,11935,7715,12405.0,13981.0,4235,47750,7585,3800,9335.0,7375
2021-09-24,22989,20951,5827,11289,8592,8200,3255,9261,11335,9883,14712.0,14123.0,24649,58125,102920,118744,104895.0,12580,49935,4345,10525,14533,8065,11875,7800,12375.0,13927.0,4240,47955,7560,3770,9275.0,7400
2021-09-27,23363,20918,5832,11347,8537,8299,3294,9189,11394,9831,14741.0,14176.0,24916,58990,102920,118655,104850.0,12580,49950,4335,10585,14528,7880,11885,7865,12440.0,13767.0,4265,48030,7570,3745,9310.0,7390
2021-09-28,23188,20472,5837,11476,8429,8314,3255,9080,11353,9704,14575.0,14041.0,24954,57175,102930,117780,104255.0,12585,49950,4385,10480,14371,7715,11780,7865,12400.0,13504.0,4380,48305,7485,3820,9290.0,7445
2021-09-29,23428,20429,5817,11400,8361,8304,3260,8966,11280,9563,14318.0,13881.0,24930,54040,102930,117997,103490.0,12525,50070,4445,10275,14156,7990,11765,7770,12270.0,13433.0,4420,48280,7565,3830,9400.0,7485
2021-09-30,23701,20372,5847,11516,8370,8663,3255,8956,11380,9601,14425.0,13920.0,24639,54745,102935,117913,103500.0,12560,50035,4425,10350,14180,7900,11700,7685,12275.0,13528.0,4390,48285,7510,3825,9400.0,7525
2021-10-01,23452,19730,5687,11454,8236,8693,3210,8756,11313,9388,14099.0,13654.0,24226,53065,102940,117740,103715.0,12585,50060,4515,10030,13971,7870,11870,7475,12055.0,13236.0,4490,48390,7605,3905,9440.0,7430
2021-10-05,23064,19734,5852,11436,8326,8887,3206,8700,11335,9375,13812.0,13306.0,24090,50715,102935,117542,103840.0,12550,50075,4580,9765,13751,7655,11895,7710,12040.0,13385.0,4590,48470,7665,3910,9605.0,7390
2021-10-06,22113,19394,5598,11365,8183,8743,3049,8485,11267,9214,13622.0,13126.0,23392,49135,102945,116331,103520.0,12510,50210,4650,9440,13620,7445,11855,7620,12070.0,13337.0,4705,48885,7675,3895,9545.0,7420
2021-10-07,22103,20228,5692,11436,8394,9071,3132,8667,11357,9379,13836.0,13383.0,23579,49245,102950,116494,103720.0,12490,50230,4575,9615,13756,7675,11915,7660,12170.0,13546.0,4585,48930,7555,3820,9455.0,7405
2021-10-08,22322,20727,5637,11324,8409,8996,3084,8756,11234,9360,13846.0,13369.0,23401,48910,102955,116642,103550.0,12495,50135,4585,9750,13728,7430,11900,7810,12235.0,13590.0,4615,48870,7295,3815,9445.0,7405
2021-10-12,22412,20679,5593,11280,8281,8852,3069,8842,11257,9275,13617.0,13194.0,23532,47860,102940,115905,103710.0,12510,50135,4670,9385,13500,7320,11925,7885,12260.0,13410.0,4680,49070,7355,3870,9450.0,7405
2021-10-13,22994,21345,5657,11342,8375,8872,3102,9075,11357,9398,13797.0,13334.0,23744,47725,102955,116311,103860.0,12510,50335,4620,9545,13634,7355,11925,8005,12245.0,13673.0,4625,48970,7270,3840,9405.0,7385
2021-10-14,23433,21398,5692,11342,8494,9046,3167,9194,11394,9468,13963.0,13489.0,23950,49320,102970,116890,103570.0,12495,50335,4555,9775,13694,7265,12130,8385,12355.0,13995.0,4470,48750,7325,3810,9285.0,7265
2021-10-15,23428,21288,5732,11459,8577,9200,3191,9246,11532,9582,14128.0,13620.0,24198,51660,102965,116850,103110.0,12510,50300,4510,9895,13943,7200,12120,8465,12350.0,13947.0,4460,48785,7320,3770,9140.0,7250
2021-10-18,23348,21263,5702,11503,8617,9380,3157,9241,11551,9601,14089.0,13615.0,24231,51170,102970,116400,103505.0,12565,50425,4530,9865,13858,7090,11930,8780,12390.0,13952.0,4455,48965,7395,3745,9140.0,7345
2021-10-19,23636,21398,5642,11530,8612,9554,3162,9203,11606,9629,14216.0,13692.0,24293,52190,102965,116642,104320.0,12555,50395,4485,9970,14004,7125,12030,8800,12370.0,14015.0,4380,48865,7335,3725,9020.0,7330
2021-10-20,23258,21162,5603,11597,8622,9892,3112,8913,11606,9572,14138.0,13620.0,23889,51300,102965,116474,103295.0,12515,50415,4510,9970,14014,7155,12010,8520,12350.0,14032.0,4410,48925,7360,3715,9075.0,7340
2021-10-21,22646,20995,5568,11659,8592,9867,3117,8933,11631,9511,14094.0,13586.0,23907,51430,102980,116568,102395.0,12525,50350,4515,9960,13943,7020,12080,8575,12360.0,14238.0,4475,48845,7395,3705,9070.0,7280
2021-10-22,22686,20900,5528,11610,8597,9972,3107,8748,11611,9511,14084.0,13577.0,23744,51775,102985,116331,102600.0,12545,50415,4515,9960,13906,7130,12090,8375,12390.0,14268.0,4445,48955,7280,3690,9060.0,7280
2021-10-25,22745,21172,5697,11726,8695,9832,3127,8871,11687,9572,14196.0,13630.0,23954,51200,102980,116232,102070.0,12560,50450,4495,10045,13967,6930,12155,8360,12325.0,14343.0,4440,48975,7325,3685,9070.0,7230
2021-10-26,22795,21335,5707,11726,8730,10082,3177,8895,11690,9605,14347.0,13765.0,24001,53490,102970,115891,102095.0,12540,50515,4445,10100,14102,6995,12215,8295,12260.0,14372.0,4345,49070,7365,3655,8985.0,7205
2021-10-27,22691,21263,5633,11686,8642,10326,3147,8804,11627,9529,14220.0,13630.0,23842,53450,102965,115609,102850.0,12545,50600,4485,10050,14009,6990,12100,8155,12315.0,14415.0,4365,49260,7425,3650,9120.0,7265
2021-10-28,22497,20986,5553,11462,8499,10037,3084,8586,11435,9473,14191.0,13591.0,23489,54415,102945,116514,103855.0,12535,50580,4495,10060,14088,7155,12190,8175,12310.0,14268.0,4415,49000,7475,3670,9105.0,7215
2021-10-29,22452,20636,5493,11352,8429,10097,3074,8505,11224,9350,13977.0,13412.0,23185,52730,102925,114630,103580.0,12550,50655,4570,9915,13794,7065,12145,8105,12390.0,14435.0,4460,49725,7450,3655,9225.0,7235
2021-11-01,22123,20601,5398,11400,8399,10241,3084,8462,11334,9360,13987.0,13436.0,23054,52470,102925,115643,104560.0,12540,50720,4545,9970,13853,7035,12060,8020,12400.0,14258.0,4405,49245,7415,3630,9380.0,7290
2021-11-02,22233,20865,5403,11462,8449,10341,3112,8443,11450,9488,14172.0,13615.0,23195,53935,102920,115767,104230.0,12545,50600,4490,10065,14038,6955,12125,7955,12380.0,14312.0,4360,49195,7530,3630,9275.0,7250
2021-11-03,22457,20679,5275,11329,8311,10107,3089,8391,11271,9398,13977.0,13446.0,22875,53470,102940,115777,104950.0,12570,50610,4560,9945,13833,7055,12025,8080,12390.0,14382.0,4365,49225,7480,3620,9305.0,7310
2021-11-04,22889,20947,5245,11369,8261,10102,3094,8320,11279,9379,14050.0,13504.0,22946,55195,102940,116296,104690.0,12565,50595,4520,10030,13976,7280,11975,7995,12420.0,14445.0,4355,49045,7410,3590,9200.0,7325
2021-11-05,23313,20956,5195,11222,8218,10136,3084,8105,11101,9209,14002.0,13446.0,22726,54915,102945,117008,104605.0,12570,50430,4545,10010,13828,7355,12150,7890,12485.0,14312.0,4305,48705,7435,3575,9210.0,7205
2021-11-08,23313,21019,5383,11262,8351,10376,3094,8105,11220,9322,14006.0,13441.0,22913,54800,102945,117241,105695.0,12565,50385,4555,10010,13684,7100,12300,7995,12490.0,14425.0,4340,48615,7460,3570,9265.0,7135
2021-11-09,23666,20832,5383,11240,8331,10629,3089,8134,11207,9303,14011.0,13436.0,22861,54700,102955,117646,106090.0,12590,50335,4545,10040,13838,7120,12350,8050,12495.0,14372.0,4300,48460,7480,3565,9195.0,7120
2021-11-10,23144,20439,5280,11137,8148,10509,3019,7896,11101,9082,13831.0,13272.0,22420,54085,102960,117463,106920.0,12590,50320,4585,9970,13733,6920,12350,8015,12460.0,14348.0,4420,48405,7520,3580,9185.0,7115
2021-11-11,23920,20113,5210,11061,8060,10599,2976,7835,11029,8973,13720.0,13238.0,22321,54045,102975,117122,106380.0,12585,50370,4585,9970,13684,7135,12545,8005,12415.0,14372.0,4365,48680,7380,3580,9245.0,7010
2021-11-12,24372,20463,5225,11218,8138,10639,3044,8215,11170,9111,13987.0,13456.0,22857,54955,102975,117038,105900.0,12580,50440,4540,10060,13780,7190,12570,8065,12450.0,14396.0,4290,48700,7380,3585,9115.0,6985
2021-11-15,24332,20601,5210,11289,8213,10858,3079,8177,11229,9237,14182.0,13577.0,22978,57000,102990,117626,105400.0,12570,50385,4485,10155,13962,7230,12570,8145,12390.0,14372.0,4180,48470,7395,3560,9015.0,6985
2021-11-16,24204,20223,5155,11298,8163,11038,3054,8091,11256,9129,14128.0,13557.0,22936,57460,102990,117246,104510.0,12565,50425,4500,10170,13962,7135,12625,8060,12505.0,14411.0,4150,48600,7370,3565,9055.0,6960
2021-11-17,24114,20113,5011,11124,8040,11535,3010,7868,11079,9011,13963.0,13397.0,22575,57300,102990,116984,103410.0,12555,50440,4550,10090,13838,7255,12550,8000,12465.0,14283.0,4200,48680,7370,3560,9095.0,7005
2021-11-18,24467,19825,4936,11097,7975,11585,3010,7844,11019,9026,13958.0,13291.0,22754,57500,103005,117152,103500.0,12555,50440,4570,10070,13799,7420,12625,7810,12405.0,14372.0,4190,48605,7415,3565,9145.0,6970
2021-11-19,24249,19998,4971,11057,7985,11261,2986,7887,11019,9039,14045.0,13412.0,22820,59225,103005,116944,104195.0,12555,50440,4535,10105,13828,7235,12600,8045,12400.0,14391.0,4150,48700,7335,3540,9220.0,6975
2021-11-22,23815,20598,4871,11088,7941,10664,2976,7925,11015,9096,14396.0,13557.0,22861,62175,103000,116820,104680.0,12550,50530,4430,10250,14097,7530,12485,8010,12485.0,14340.0,4170,48755,7280,3535,9215.0,7035
2021-11-23,23701,20256,4881,11102,7912,10494,2981,8044,11075,9021,14255.0,13542.0,22941,60560,102995,116598,104820.0,12555,50530,4470,10245,14059,7540,12210,8040,12435.0,14308.0,4270,48835,7270,3580,9315.0,7160
2021-11-24,23970,20084,4807,11160,7842,10455,3005,7939,11101,9011,14216.0,13532.0,23054,60650,102990,116702,103405.0,12500,50520,4485,10245,14042,7265,12125,8135,12490.0,14382.0,4240,48845,7270,3565,9325.0,7215
2021-11-25,24009,20002,4747,11079,7759,10406,3010,7873,10978,8913,14114.0,13417.0,22983,59190,102990,117082,103445.0,12510,50395,4510,10215,13934,7265,12120,8270,12545.0,14655.0,4275,48685,7290,3545,9330.0,7200
2021-11-26,23716,19423,4583,10869,7556,10062,2946,7782,10822,8677,13821.0,13199.0,22458,57100,102990,118081,103445.0,12470,50270,4600,10140,13694,7480,12175,8080,12460.0,14387.0,4310,48180,7320,3590,9445.0,7210
2021-11-29,23398,19030,4438,10731,7403,9952,2873,7569,10695,8455,13627.0,13044.0,22116,56465,102985,117819,102945.0,12450,50230,4640,9930,13605,7805,12135,7965,12410.0,14331.0,4320,48345,7350,3595,9655.0,7200
2021-11-30,23004,18589,4324,10447,7137,9743,2804,7354,10380,8121,13360.0,12725.0,21525,53915,102995,118408,103660.0,12460,50180,4740,9590,13416,8205,12115,7910,12200.0,14218.0,4390,48150,7400,3630,9635.0,7245
2021-12-01,23044,19251,4463,10567,7256,9733,2883,7564,10484,8323,13748.0,13039.0,21891,56225,103000,118754,102770.0,12385,50180,4625,9985,13610,8125,12075,7970,12075.0,14176.0,4360,48030,7405,3610,9515.0,7235
2021-12-02,22392,19566,4523,10745,7403,9405,2936,7787,10672,8568,13963.0,13252.0,22210,56750,103005,118754,103200.0,12430,50200,4550,10160,13814,8355,12005,7835,12005.0,13922.0,4385,48030,7380,3665,9540.0,7300
2021-12-03,22820,19720,4672,10959,7556,9857,2981,7849,10850,8714,14079.0,13354.0,22637,57575,103015,118339,104920.0,12445,50260,4510,10190,13915,8210,11975,7935,12065.0,14238.0,4260,48135,7340,3630,9370.0,7300
2021-12-06,22592,19854,4732,11043,7566,9604,2996,7944,10896,8762,14143.0,13407.0,22861,58520,103015,118432,104725.0,12475,50255,4500,10255,13957,8165,12050,7855,12045.0,14298.0,4320,48105,7290,3645,9490.0,7240
2021-12-07,22317,19931,4827,11093,7788,9619,3029,7996,10992,8823,14216.0,13499.0,22908,59445,103020,118185,105290.0,12475,50250,4470,10265,14073,7855,12040,7925,12120.0,14435.0,4290,48195,7305,3600,9505.0,7290
2021-12-08,23074,19878,4797,11106,7739,9614,3010,8001,10960,8818,14265.0,13528.0,22908,59770,103025,118724,104835.0,12535,50230,4455,10365,14132,7735,12100,7970,12085.0,14581.0,4225,47975,7205,3550,9400.0,7250
2021-12-09,23124,19974,4891,11124,7837,9753,3015,8044,10974,8875,14323.0,13644.0,22946,60500,103030,118759,104325.0,12525,50200,4435,10370,14189,7590,12075,8045,12095.0,14697.0,4170,47985,7050,3545,9240.0,7250
2021-12-10,22725,20099,4851,11133,7763,9644,3019,8067,10996,8941,14293.0,13557.0,23059,59470,103045,118576,104350.0,12520,50200,4450,10210,14151,7835,11965,7925,12020.0,14462.0,4240,48055,7095,3565,9300.0,7300
2021-12-13,22537,20161,4772,11168,7734,9519,3010,8048,10960,8926,14303.0,13625.0,23030,59975,103045,118709,104420.0,12520,50180,4450,10210,14151,7610,12060,7950,12145.0,14551.0,4275,47970,7025,3525,9320.0,7275
2021-12-14,22063,20122,4742,11133,7689,9494,2996,8039,11006,8865,14220.0,13465.0,23007,58000,103060,118897,104760.0,12555,50110,4480,10135,14047,7755,12075,7885,12095.0,14721.0,4280,47900,7075,3560,9550.0,7270
2021-12-15,21944,19903,4727,11111,7699,9410,2976,8006,10983,8851,14191.0,13460.0,22875,58530,103050,118917,105500.0,12500,50150,4485,10130,14073,7940,11950,7830,12050.0,14571.0,4250,47990,7055,3575,9550.0,7320
2021-12-16,22332,20027,4682,11102,7714,9479,2981,8034,11019,8856,14279.0,13489.0,22908,59250,103070,119011,105090.0,12480,50180,4455,10200,14042,7735,12055,7810,12175.0,14775.0,4225,47900,7090,3525,9570.0,7280
2021-12-17,22208,20017,4717,11320,7714,9420,3015,8234,11184,8917,14318.0,13595.0,23203,58275,103085,119016,105230.0,12490,50125,4445,10190,14083,7750,12195,7910,12115.0,14645.0,4280,47870,7140,3565,9500.0,7175
2021-12-20,21506,19619,4592,11160,7556,9220,2976,8006,11056,8809,14041.0,13329.0,22969,56480,103070,119456,106280.0,12525,50050,4530,9985,13934,8070,12170,7810,12090.0,14576.0,4300,47755,7270,3650,9650.0,7205
2021-12-21,21382,19657,4637,11209,7566,9340,2971,7996,11089,8809,14114.0,13499.0,22884,57850,103085,119614,105695.0,12525,50005,4495,10095,14004,7945,12085,7940,12155.0,14755.0,4270,47650,7190,3615,9735.0,7250
2021-12-22,21104,19898,4742,11182,7606,9464,2941,8044,11093,8780,14157.0,13484.0,22918,58790,103090,119174,105780.0,12515,50000,4465,10190,14073,7745,12060,8010,12090.0,14775.0,4265,47875,7190,3580,9645.0,7255
2021-12-23,21392,20060,4697,11173,7606,9449,2932,8110,11089,8790,14240.0,13484.0,23007,60670,103095,118536,105110.0,12530,50080,4450,10205,14137,7570,12195,8085,12080.0,14947.0,4245,48080,7205,3540,9550.0,7190
2021-12-24,21571,20693,4737,11227,7650,9659,2936,8120,11106,8860,14371.0,13595.0,23134,61680,103095,118625,104900.0,12540,50080,4415,10405,14242,7570,12200,8080,12140.0,14910.0,4235,48125,7225,3530,9505.0,7185
2021-12-27,21452,20573,4692,11200,7709,9534,2907,8063,11143,8898,14298.0,13537.0,23021,60725,103095,118779,105010.0,12560,50075,4440,10345,14266,7560,12220,8010,12150.0,14905.0,4190,48090,7225,3530,9515.0,7165
2021-12-28,21959,20674,4752,11222,7754,9768,2907,8063,11224,8983,14342.0,13577.0,23198,61845,103105,118793,105250.0,12575,50070,4415,10420,14266,7275,12235,8150,12220.0,15150.0,4080,48070,7160,3475,9470.0,7120
2021-12-29,22238,20645,4847,11253,7803,9714,2956,8158,11266,9044,14454.0,13634.0,23443,63015,103115,118927,105500.0,12615,50065,4415,10480,14266,7255,12205,8080,12315.0,15218.0,4130,48020,7245,3480,9515.0,7180
2021-12-30,22183,20357,4797,11150,7768,9773,2927,8053,11175,8993,14371.0,13634.0,23307,63100,103110,118195,105495.0,12615,50065,4440,10350,14204,7235,12135,8070,12295.0,15189.0,4125,48270,7175,3460,9555.0,7195
2022-01-03,22004,20492,4822,11155,7788,9927,2966,8134,11152,9026,14411.0,13673.0,23297,63060,103115,117582,105770.0,12625,50195,4430,10375,14204,7275,12320,8150,12370.0,15395.0,4135,48525,7135,3465,9410.0,7115
2022-01-04,22068,20563,4782,11240,7793,9743,3010,8329,11175,9087,14469.0,13717.0,23514,62915,103120,117547,104900.0,12625,50200,4435,10375,14165,7265,12175,8050,12305.0,15316.0,4190,48550,7180,3455,9370.0,7165
2022-01-05,21840,20736,4702,11356,7689,9415,3005,8457,11184,9096,14293.0,13577.0,23616,60650,103125,117043,104490.0,12600,50270,4495,10065,13999,7175,12270,8140,12305.0,15072.0,4300,48850,7210,3480,9475.0,7140
2022-01-06,21646,20895,4687,11262,7586,8977,3019,8624,11129,9096,14133.0,13436.0,23489,58100,103125,115940,103295.0,12580,50495,4540,9945,13925,7165,12170,8045,12270.0,14740.0,4440,49230,7300,3550,9565.0,7200
2022-01-07,21890,20971,4742,11374,7660,9120,3054,8634,11207,9111,14323.0,13595.0,23702,59425,103125,116118,103550.0,12550,50450,4490,10160,14042,6890,12080,8030,12210.0,14864.0,4390,49240,7270,3535,9425.0,7245
2022-01-10,21382,20381,4657,11584,7482,8967,3029,8591,11307,9077,14182.0,13479.0,23931,57380,103125,115980,102800.0,12555,50510,4525,10040,13957,6990,12095,8075,12100.0,14679.0,4485,49320,7265,3540,9350.0,7230
2022-01-11,21292,20223,4617,11566,7428,8867,2986,8528,11293,9006,14177.0,13456.0,23673,58200,103120,115955,102230.0,12520,50430,4510,10080,13957,7005,12215,8070,12025.0,14631.0,4510,49290,7350,3570,9380.0,7175
2022-01-12,22492,20492,4687,11694,7546,8982,2991,8680,11408,9106,14411.0,13668.0,23903,60530,103130,116573,102110.0,12525,50385,4435,10420,14165,6800,12295,8210,12000.0,14692.0,4375,49015,7295,3515,9200.0,7120
2022-01-13,22517,20238,4777,11722,7591,8857,2996,8833,11458,9082,14406.0,13625.0,24016,60875,103140,116939,101900.0,12585,50350,4455,10330,14117,6730,12320,8335,12115.0,14670.0,4445,48870,7405,3525,9175.0,7095
2022-01-14,21974,20065,4742,11659,7477,8777,2932,8667,11349,8960,14152.0,13451.0,23761,60400,103130,116118,101810.0,12590,50460,4520,10100,13943,6750,12330,8315,12090.0,14631.0,4525,49255,7445,3560,9175.0,7090
2022-01-17,21900,19629,4652,11449,7304,8703,2892,8452,11224,8851,14002.0,13296.0,23439,59375,103105,115376,101200.0,12515,50595,4560,10055,13789,6600,12280,8160,12080.0,14481.0,4560,49515,7370,3570,9205.0,7125
2022-01-18,22068,19327,4583,11396,7275,8588,2809,8305,11175,8691,13890.0,13194.0,23368,59560,103110,115362,100620.0,12590,50590,4595,9860,13723,6480,12255,8160,12120.0,14420.0,4615,49610,7330,3590,9180.0,7125
2022-01-19,21397,19078,4533,11476,7231,8498,2824,8343,11229,8621,13768.0,13103.0,23317,58890,103125,115678,100230.0,12510,50595,4625,9665,13630,6375,12230,8110,12075.0,14273.0,4675,49430,7405,3640,9380.0,7150
2022-01-20,22083,19246,4578,11356,7369,8822,2849,8329,11179,8757,13875.0,13194.0,23471,60000,103135,115376,99850.0,12560,50585,4600,9780,13625,6390,12420,8285,12085.0,14268.0,4535,49535,7300,3625,9245.0,7045
2022-01-21,21686,18905,4573,11360,7299,8817,2799,8243,11175,8621,13661.0,13059.0,23101,57090,103130,115653,100880.0,12560,50565,4650,9545,13485,6540,12425,8295,12080.0,13777.0,4620,49390,7360,3725,9245.0,7010
2022-01-24,21049,18655,4438,11173,7201,8413,2751,7958,11056,8441,13451.0,12856.0,22655,56645,103140,115564,100940.0,12440,50515,4705,9365,13393,6370,12410,8225,12125.0,13917.0,4725,49475,7320,3745,9370.0,7060
2022-01-25,20253,18210,4285,10879,7023,8110,2668,7768,10822,8243,13082.0,12527.0,22083,53555,103140,115352,100830.0,12500,50605,4820,8960,13089,6530,12435,8140,12050.0,13864.0,4835,49605,7380,3790,9540.0,7040
2022-01-26,19387,18119,4364,11026,7058,7906,2653,7801,10928,8272,13048.0,12507.0,21984,52465,103135,115302,100990.0,12505,50600,4835,9000,13027,6435,12480,8215,12015.0,13985.0,4920,49610,7435,3800,9540.0,7020
2022-01-27,18431,17922,4170,10794,6747,7557,2525,7501,10649,7960,12625.0,12135.0,21346,48610,103155,114847,101975.0,12500,50630,5000,8385,12601,6345,12225,8125,11910.0,13605.0,5130,49845,7515,3875,9735.0,7140
2022-01-28,18456,18406,4354,10963,6980,7816,2663,7701,10836,8243,12956.0,12449.0,21736,50880,103160,115223,100950.0,12485,50675,4870,8820,12706,6300,12120,8135,11815.0,13625.0,4980,49725,7605,3820,9560.0,7180
2022-02-03,18909,18526,4453,11147,7093,7976,2696,7911,11042,8441,13116.0,12653.0,22173,51500,103170,115391,99810.0,12490,50605,4820,9010,13112,6270,12170,8200,11890.0,14097.0,4885,49565,7565,3650,9425.0,7145
2022-02-04,19198,18435,4802,11303,7349,8364,2761,7991,11194,8587,13242.0,12768.0,22420,52100,103175,114882,99310.0,12450,50595,4770,9135,13191,6055,12185,8230,11750.0,14199.0,4840,49765,7525,3650,9480.0,7175
2022-02-07,18724,18258,4822,11311,7339,8284,2726,7963,11247,8672,13087.0,12682.0,22346,50545,103185,114738,98860.0,12400,50720,4810,9000,13103,5975,12210,8200,11850.0,14020.0,4905,49860,7525,3680,9400.0,7130
2022-02-08,18436,18162,4871,11334,7349,8354,2711,7896,11271,8583,13092.0,12682.0,22279,50405,103190,113769,97880.0,12400,50830,4805,8985,13168,5995,12280,8175,11875.0,14029.0,4925,50285,7645,3690,9520.0,7125
2022-02-09,18621,18411,4976,11637,7502,8498,2789,8205,11431,8729,13247.0,12865.0,22650,51715,103190,114333,97770.0,12400,50825,4730,9315,13283,6105,12320,8175,11875.0,13962.0,4815,50075,7565,3630,9260.0,7095
2022-02-10,18636,18388,4971,11668,7586,8279,2789,8134,11458,8799,13360.0,12860.0,22744,52900,103205,114293,97950.0,12440,50795,4695,9515,13393,6130,12380,8485,12045.0,14195.0,4930,50050,7595,3610,9170.0,7065
2022-02-11,18297,18224,4981,11726,7443,8120,2741,8239,11422,8714,13204.0,12783.0,22529,51325,103200,113690,96950.0,12365,50875,4735,9365,13310,6125,12295,8305,12045.0,13748.0,5070,50320,7630,3700,9325.0,7110
