,asset_1,asset_2,asset_1_name,asset_2_name,A,B,l_max,theta,mu,sigma,x_0,x_T,d_star,b_star,t_first_d_star,t_first_b_star
852,A352560,A292340,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')","('마이티 200커버드콜ATM레버리지', 'option,leverage')",1.0,-0.266332,3.61885,0.7571946441311105,10.57323285502976,0.186697509186553,0.7336683417085426,0.7106868575716041,0.6331658291457286,0.8542713567839196,244.0,inf
853,A352560,A166400,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')","('TIGER 200커버드콜5%OTM', 'option')",1.0,-0.386935,3.606655,0.6272651425195004,10.335382840580891,0.19125116482254031,0.6130653266331657,0.5755784110558421,0.5025125628140703,0.7336683417085427,243.0,inf
854,A352560,A271050,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')","('KODEX WTI원유선물인버스(H)', 'commodity,inverse')",1.0,0.025126,3.546013,1.098657890487201,11.701796793324931,0.20677964353672604,1.0251256281407035,1.0880866936386768,0.964824120603015,1.1959798994974875,277.0,inf
855,A352560,A132030,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')","('KODEX 골드선물(H)', 'commodity')",1.0,-0.035176,3.540752,1.0180531301078135,13.287925538134791,0.20826723678288864,0.9648241206030149,0.9966162289251962,0.8944723618090452,1.1155778894472361,247.0,inf
856,A352560,A138910,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')","('KODEX 구리선물(H)', 'commodity')",1.0,-0.18593,3.571798,0.8622559896453118,13.04222093041181,0.1994865878844359,0.8140703517587938,0.8486369755930668,0.7437185929648241,0.9547738693467337,244.0,inf
857,A352560,A316300,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')","('KINDEX 싱가포르리츠', 'singapore,real-estate')",1.0,-0.386935,3.559693,0.6632925653345795,12.722998430909373,0.20117769670319044,0.6130653266331657,0.649131705279905,0.542713567839196,0.7638190954773869,267.0,inf
858,A352560,A250780,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')","('TIGER 코스닥150선물인버스', 'inverse')",1.0,0.266332,3.607041,1.3090425309378777,15.144096992132187,0.18744485142247239,1.266331658291457,1.283249782076187,1.206030150753769,1.3869346733668342,246.0,inf
859,A352560,A295020,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')","('KBSTAR 국채선물10년인버스', 'inverse,bond')",1.0,-0.165829,3.541567,0.8970567024623337,12.449421685208142,0.2075483880907257,0.8341708542713567,0.8813581611694277,0.7738693467336684,0.9949748743718593,247.0,inf
860,A352560,A217780,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')","('TIGER 차이나CSI300인버스(합성)', 'china,inverse')",1.0,0.065327,3.541951,1.1099743042203882,14.023386756258612,0.2081387186440094,1.0653266331658289,1.0872252098681372,0.9849246231155779,1.206030150753769,247.0,inf
861,A352560,A225030,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')","('TIGER 미국S&P500선물인버스(H)', 'US,inverse')",1.0,0.708543,3.825844,1.7313367309857988,26.466002986890604,0.15113412053439199,1.708542713567839,1.7406150674048186,1.7085427135678393,1.7487437185929648,210.0,inf
862,A352560,A373530,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')","('ARIRANG 신흥국MSCI인버스(합성 H)', 'emerging-market,inverse')",1.0,0.346734,3.594599,1.3647705949334814,13.854597278200925,0.19812023997923744,1.3467336683417086,1.3324963599717021,1.2462311557788945,1.4472361809045227,244.0,inf
863,A352560,A280940,"('KODEX 다우존스미국리츠(H)', 'US,real-estate')","('KODEX 골드선물인버스(H)', 'commodity,inverse')",1.0,0.075377,3.542066,1.1309397476425267,13.188360141802926,0.20832552209089253,1.0753768844221105,1.1103859073602795,1.0050251256281406,1.2261306532663316,247.0,inf
864,A250780,A305720,"('TIGER 코스닥150선물인버스', 'inverse')","('KODEX 2차전지산업', 'technology,manufacturing')",1.0,0.577889,3.489333,1.5787889737035268,18.101327754115733,0.20966231282378317,1.5778894472361809,1.5396058979771081,1.4673366834170853,1.6582914572864322,336.0,inf
865,A250780,A091180,"('TIGER 코스닥150선물인버스', 'inverse')","('KODEX 자동차', 'technology,manufacturing')",1.0,0.356784,3.361428,1.363787137082886,18.32613653860118,0.23601855135389854,1.35678391959799,1.3991518141812271,1.236180904522613,1.4572864321608041,inf,218.0
866,A250780,A228800,"('TIGER 코스닥150선물인버스', 'inverse')","('TIGER 여행레저', 'retail')",1.0,0.376884,3.352043,1.3691966821924997,9.360528010593116,0.22760372656348465,1.3768844221105527,1.3574547681109903,1.2160804020100502,1.4874371859296482,inf,230.0
867,A250780,A161510,"('TIGER 코스닥150선물인버스', 'inverse')","('ARIRANG 고배당주', 'high-dividend')",1.0,0.497487,3.300571,1.4586696065722111,9.31628702822046,0.2492532252539932,1.4974874371859297,1.4308160705211628,1.2864321608040201,1.5879396984924623,inf,inf
